KODEPT,PT,tutup,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID,KETERANGAN VALID,BOBOT VERIFIKASI,KETERANGAN,BOBOT UNGGAH ,KETERANGAN,KLASTER
42030,Institut Budi Utomo Nasional,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
42022,Institut Digital Ekonomi LPKIA,,6,6,6,10,10,10,0,3,3,3,4,4,4,0,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
42012,Institut Keguruan dan Ilmu Pendidikan Siliwangi,,6,6,6,10,10,10,12,3,2,2,4,2,2,57,3,3,0,6,6,6,69%,Belum Tervalidasi,77%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
42029,Institut Kesehatan dan Bisnis Annisa,,6,0,0,10,9,9,1,3,3,0,3,0,0,0,1,1,0,6,3,0,26%,Belum Tervalidasi,46%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
42025,Institut Kesehatan Immanuel,,6,6,6,5,0,0,7,3,0,0,4,0,0,0,5,0,0,6,0,0,17%,Belum Tervalidasi,17%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
42017,Institut Kesehatan Rajawali,,6,6,6,9,8,8,0,3,3,3,0,0,0,0,9,6,6,6,5,5,80%,Belum Tervalidasi,80%,Belum Terverifikasi,94%,Tidak Lengkap,Merah
42011,Institut Manajemen Wiyata Indonesia,,6,6,2,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,Belum Tervalidasi,46%,Belum Terverifikasi,46%,Tidak Lengkap,Hijau
42031,Institut Pangeran Dharma Kusuma,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
42023,Institut Pendidikan dan Bahasa Invada,1,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Kuning
42013,Institut Pendidikan Indonesia Garut,,6,6,6,10,10,10,5,3,3,3,2,2,2,7,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Kuning
42032,Institut Prima Bangsa,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
42024,Institut Teknologi Al-Muhajirin,,6,6,6,10,10,10,1,3,3,3,4,4,4,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
42026,Institut Teknologi dan Bisnis Banten,,6,6,6,10,10,10,0,3,3,3,0,0,0,1,3,3,3,6,6,5,77%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
42018,Institut Teknologi dan Bisnis Bina Sarana Global,,6,6,6,10,6,6,2,3,1,1,4,1,1,7,3,3,3,6,0,0,46%,Belum Tervalidasi,46%,Belum Terverifikasi,80%,Tidak Lengkap,Hijau
