,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,10,,,,3,,,,,,,10,,,6,,,35,,35,,35,,,,
,,,,,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,% (VLD),,% (VER),,% (UNG),,,,
74,41100,Universitas Sali Al-Aitaam,Kabupaten Bandung,Lisye Fitria,6,6,6,9,9,9,1,3,3,3,4,0,0,0,5,5,5,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
75,41044,Universitas Sangga Buana,Kota Bandung,Lisye Fitria,6,6,6,10,10,10,6,3,3,3,1,1,1,0,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,,
76,41122,Universitas Utpadaka Swastika,Kota Tangerang,Lisye Fitria,6,6,6,10,10,10,4,3,3,3,2,2,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
77,42022,Institut Digital Ekonomi LPKIA,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,0,3,3,3,4,4,4,0,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
78,45043,Politeknik Meta Industri Cikarang,Kabupaten Bekasi,Emma Hermawati Muhari,6,6,6,9,9,9,6,3,3,2,4,0,0,2,9,9,9,6,6,5,89%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,,
79,43390,Sekolah Tinggi Ilmu Ekonomi Triguna,Kabupaten Tangerang,Yusep Ikrawan,6,6,6,10,10,10,0,3,3,3,3,0,0,0,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,,
80,43377,Sekolah Tinggi Manajemen Informatika dan Komputer Al Muslim,Kabupaten Bekasi,Emma Hermawati Muhari,6,6,6,10,10,10,4,3,3,3,3,3,3,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
81,43323,STKIP Muhammadiyah Kuningan,Kabupaten Kuningan,Emma Hermawati Muhari,6,6,6,9,9,9,1,3,3,3,3,3,3,0,10,10,10,6,6,6,97%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,,
82,41005,Universitas Islam Syekh-Yusuf,Kota Tangerang,Yusep Ikrawan,6,6,6,10,10,10,2,3,3,3,4,0,0,0,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
83,43196,Sekolah Tinggi Bahasa Asing Technocrat,Kabupaten Tangerang,Lisye Fitria,6,6,6,10,10,10,4,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
84,43213,Sekolah Tinggi Ilmu Kesehatan Indramayu,Kabupaten Indramayu,Supriyadi Sadikin,6,6,6,10,10,10,1,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
85,43326,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Mutiara,Kabupaten Sukabumi,Meita Lukitawati Sujatna,6,6,6,10,10,10,4,3,3,3,4,4,4,5,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
86,43319,Sekolah Tinggi Pariwisata Bogor,Kota Bogor,Supriyadi Sadikin,6,6,6,10,10,10,10,3,3,3,4,4,4,2,4,0,0,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,83%,Tidak Lengkap,Kuning,,
87,41037,Universitas Al-ghifari,Kota Bandung,Nan Rahminawati,6,6,6,10,10,10,1,3,3,3,4,4,4,3,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
88,41021,Universitas Jenderal Achmad Yani,Kota Cimahi,Nanah Sujanah,6,6,6,10,10,10,0,3,3,3,4,4,4,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
